"year","population","percent_change"
2029,8828678279.83702,0.0126682886859669
2030,8935757745.25622,0.0121285952466688
2031,9039641993.69109,0.0116256786941224
2032,9140501437.55746,0.0111574599897607
2033,9238506489.27117,0.0107220651277429
2034,9333827561.24808,0.0103178010523244
2035,9426635065.90402,0.00994313469441589
2036,9517099415.65484,0.00959667464777801
2037,9605391022.91637,0.00927715508743151
2038,9691680300.10447,0.00898342159962334
2039,9776137659.63497,0.00871441864725853
2040,9858933513.92371,0.00846917843951836
2041,9940238275.38654,0.00824681101135384
2042,10020222356.4393,0.00804649534919249
2043,10099056169.4978,0.00786747142471081
2044,10176910126.978,0.00770903301986698
2045,10253954641.2956,0.00757052124429894
2046,10330360124.8665,0.00745131866130993
2047,10406296990.1066,0.007350843951438
2048,10481935649.4316,0.00726854705347636
2049,10557446515.2575,0.00720390473203864
2050,1.0633e+10,0.00715641652868881
2051,10708731946.8217,0.00712234993151027
2052,10784639921.872,0.00708841863137954
2053,10860686922.0469,0.00705141763895755
2054,10936835944.2425,0.00701143700597275
2055,11013049985.3547,0.00696856398877555
2056,11089292042.2796,0.00692288303660583
2057,11165525111.9132,0.00687447578646173
2058,11241712191.1517,0.00682342106392779
2059,11317816276.8909,0.00676979488935597
2060,11393800366.0271,0.00671367048882792
2061,11469627455.4561,0.00665511830935169
2062,11545260542.0741,0.00659420603779173
2063,11620662622.7771,0.00653099862304452
2064,11695796694.4611,0.00646555830101577
2065,11770625754.0221,0.00639794462197717
2066,11845112798.3563,0.00632821447990702
2067,11919220824.3596,0.00625642214345115
2068,11992912828.9281,0.00618261928815737
2069,12066151808.9578,0.00610685502966858
2070,12138900761.3448,0.00602917595757164
2071,12211122682.9851,0.00594962616963323
2072,12282780570.7747,0.00586824730616008
2073,12353837421.6097,0.00578507858424726
2074,12424256232.3861,0.00570015683169329
2075,1.2494e+10,0.00561351652037508
2076,12563038635.198,0.00552574317256527
2077,12631369704.1296,0.00543905586185861
2078,12698997686.7946,0.0053539706499855
2079,12765927063.1931,0.00527044559336535
2080,12832162313.3251,0.00518844027575493
