"year","land_area","natural_land","percent_change"
2030,51871233.308209,78498164.691791,0.00332725453593358
2031,52032484.7059226,78336913.2940774,0.0031086864034151
2032,52193735.6981618,78175662.3018382,0.00309904462857306
2033,52354987.2749895,78014410.7250105,0.00308948142283244
2034,52516238.3227499,77853159.6772501,0.00307995581993825
2035,52677489.8606485,77691908.1393515,0.00307050815230889
2036,52692001.8695388,77677396.1304612,0.000275487858830985
2037,52706514.3884191,77662883.6115809,0.000275421664871114
2038,52721026.5119085,77648371.4880915,0.000275338326918293
2039,52735538.7952109,77633859.2047891,0.000275265567887198
2040,52750050.9640596,77619347.0359404,0.000275187647272483
2041,52720091.536405,77649306.463595,-0.000567950686436569
2042,52690132.0673987,77679265.9326013,-0.000568274222088783
2043,52660172.1140401,77709225.8859599,-0.000568606533767551
2044,52630212.7368126,77739185.2631874,-0.000568919090553303
2045,52600253.2251937,77769144.7748063,-0.000569245497233985
2046,52545267.350615,77824130.649385,-0.00104535379978671
2047,52490281.5759238,77879116.4240762,-0.0010464458068945
2048,52435295.410318,77934102.589682,-0.00104754945020183
2049,52380309.4126547,77989088.5873453,-0.00104864475794456
2050,52325323.7304021,78044074.2695979,-0.00104973954658077
2051,52361589.4132922,78007808.5867078,0.000693080908146033
2052,52397854.8192273,77971543.1807727,0.000692595590421384
2053,52434120.4210869,77935277.5789131,0.000692119972940033
2054,52470386.4315271,77899011.5684729,0.000691649066465809
2055,52506652.2091655,77862745.7908345,0.000691166581853257
2056,52624017.7327931,77745380.2672069,0.00223525055758772
2057,52741382.6852567,77628015.3147433,0.00223025450203245
2058,52858748.2076731,77510649.7923269,0.00222530234212486
2059,52976113.4130301,77393284.5869699,0.00222035536853601
2060,53093479.1139208,77275918.8860792,0.00221544566653374
2061,53161076.3474697,77208321.6525303,0.00127317393165856
2062,53228674.1235911,77140723.8764089,0.00127156522715172
2063,53296271.7217483,77073126.2782517,0.00126994705899011
2064,53363869.3344433,77005528.6655567,0.00126833661175997
2065,53431466.7610388,76937931.2389612,0.00126672648439065
2066,53477190.9609771,76892207.0390229,0.000855754159675034
2067,53522914.9363105,76846483.0636895,0.00085501827062617
2068,53568639.2108813,76800758.7891187,0.000854293429743314
2069,53614363.2475945,76755034.7524055,0.000853559795185351
2070,53660087.4076382,76709310.5923618,0.000852834152530069
2071,53663856.1655237,76705541.8344763,7.02339125329924e-05
2072,53667624.5867042,76701773.4132958,7.02227057421677e-05
2073,53671393.397839,76698004.602161,7.02250409594989e-05
2074,53675162.1486782,76694235.8513218,7.02189863277872e-05
2075,53678930.8154774,76690467.1845226,7.02124902531919e-05
2076,53680136.075521,76689261.924479,2.24531305912523e-05
2077,53681341.2961273,76688056.7038727,2.24518917873395e-05
2078,53682546.5425784,76686851.4574216,2.2451869159781e-05
2079,53683751.8704573,76685646.1295427,2.24528819239949e-05
2080,53684957.3047582,76684440.6952418,2.24543601909253e-05
